Formula,RT,Mass,Cpd,Antibase ID,CAS
C18H30O5,,326.2093,Albocycline M-6,230,93752-59-1
C18H28O5,,324.1937,Albocycline M-7,231,
C18H30O6,,342.2042,Albocycline M-8,232,
C18H28O4,,308.1988,Albocycline; Ingramycin; TA 2407; Cineromycin-B-methylaether; U-28010; SR-2077,233,25129-91-3
C27H24N2O9,,520.1482,Albofungin; Albofungin-A; 660-15-I; P-42-13,234,37895-35-5
C36H58N10O18S1,,950.3651,Albomycin d1; BAYi 3265A; Ro 7-7730; Albomycin-A2; Grisein-2,235,82113-69-7
C37H60N12O18S1,,992.3869,Albomycin d2; Ro 5-2667; BAYi 3265B; Albomycin-A1; Grisein-1,236,34755-52-7
C36H59N11O17S1,,949.3811,Albomycin e; Ro 7-7731; Albomycin-A3; Grisein-3; Grisein-B,237,12676-10-7
C15H16N2O2,,256.1212,Albonoursin; Albonursin; P-42-2; B-73; Phalamycin-2,238,1222-90-8
C48H84O14,,884.5861,Alborixin; S-14750-A,239,57760-36-8
C20H36N8O7,,500.2707,Albothricin,240,
C36H58O15,,730.3776,Aldgamycin C; LL-AL-471-C,241,11020-65-8
C37H58O15,,742.3776,"Aldgamycin E; LL-AL-471-E; Aldgamycinol C, Aldgamycinol E",242,11011-06-6
C37H56O16,,756.3568,Aldgamycin F,243,55141-41-8
C37H56O15,,740.3619,Aldgamycin G; 8-Dehydroxyaldgamycin F,244,
C25H42N4O14,,622.2698,Allosamidin,245,
C13H18N2O4S2,,330.0708,Almecillin; Allylthiomethylpenicillin; Penicillin-O; Allylmercaptomethylpenicillin,246,87-09-2
C30H43N1O9,,561.2938,Altamycin A; LIA-0788-A,247,60202-22-4
C15H14O8,,322.0689,(+)-Altenuic acid II,248,1402-72-8
C21H30O8,,410.1941,Alternaric acid,249,10088-62-7
C22H29N3O6,,431.2056,Alternarolide III; Alternariolide III; Alternaria mali Toxin III; AM Toxin III,250,57765-94-3
C20H14O6,,350.079,Alterperylenol; Alteichin,251,88899-62-1
C32H26O13,,618.1373,Alterporriol A; Alterporriol B,252,88901-69-3
C16H16O8,,336.0845,Altersolanol A; Stemphylin,253,22268-16-2
C16H16O6,,304.0947,Altersolanol B; Dactylarin,254,22350-90-9
C16H16O7,,320.0896,Altersolanol C; Dactylariol,255,67022-41-7
C20H14O6,,350.079,Altertoxin II; Stemphyltoxin II,256,56257-59-1
C20H12O6,,348.0634,Altertoxin III,257,
C16H17N5O6S2,,439.062,Althiomycin; Matamycin; 116-A,258,12656-40-5
C19H27N3O4S1,,393.1722,Amantocillin; (3-Amino-1-adamantyl)penicillin,259,10004-67-8
C21H39N5O7,,473.285,Amastatin A1,260,69400-56-2
C22H41N5O7,,487.3006,Amastatin B1,261,69400-54-0
C22H40N4O8,,488.2846,Amastatin B2,262,69281-04-5
C21H38N4O8,,474.269,Amastatin; Amastatin A2,263,67655-94-1
C32H36N4O2,,508.2838,Amauromine; FR 900220; WF 6237,264,88360-87-6
C28H42O6,,474.2981,"Ambruticin; Ambruticin-S; 5,6-Dihydroxypolyangioic acid; SMP 78; W 7783; Saeure-S",265,58857-02-6
C29H42N6O9,,618.3013,Amicetin; Allomycin; Amicetin A; Sacromycin; 4009A; NSC-5340; Antibiotic-D; D-13,266,17650-86-1
C20H26N2O7,,406.174,Amicoumacin C; AI 77Ba; AI 77 B lactone; BN 103C,267,77682-31-6
C20H28N2O8,,424.1846,Amicoumacin-B; AI-77-B; BN-103-B,268,82768-33-0
C21H23N3O7,,429.1536,Amicycline,269,5874-95-3
C9H18N4O1,,198.1481,Amidinomycin; Myxoviromycin; M-141,270,3572-60-9
C40H68N4O12,,796.4834,Amidomycin,271,
C22H43N5O13,,585.2857,Amicacin; Amikacin; BB-K8; Amikin,272,37517-28-5
C32H35Cl1N4O10,,670.2042,Aminochlorthenoxycycline,273,40910-00-7
C20H29N7O8,,495.2078,Amipurimycin; T-36496,274,61991-08-0
C24H28O2,,348.2089,Amorphastilbol,275,72165-33-4
C16H19N3O5S1,,365.1045,Amoxycillin,276,26787-78-0
C31H46O7,,530.3244,(+)-Amphidinolide A,277,106463-75-6
C58H91N13O20,,1289.6503,Glumamycin; Amphomycin; A-6786-52; A-8999; T-3910; 33B; Aspartocin; A-1437-E,278,
C47H73N1O17,,923.4879,Amphotericin B; Fungizone; HA-516-B,279,1397-89-3
C16H19N3O4S1,,349.1096,Ampicillin; D-a-Aminobenzylpenicillin,280,69-53-4
C25H43N1O18,,645.248,Amylostatin K; Amylostatin GXG,281,82642-64-6
C31H53N1O23,,807.3008,Amylostatin L; Amylostatin XGGG,282,82642-66-8
C31H53N1O23,,807.3008,Amylostatin M; Amylostatin GXGG,283,82642-67-9
C37H63N1O28,,969.3537,Amylostatin N; Amylostatin GXGG,284,82642-69-1
C19H33N1O13,,483.1952,Amylostatin XG,285,79305-08-1
C85H121N23O25S3,,1959.8066,Ancovenin; IS 83,286,88201-41-6
